M,N,C,a,err_C,execution_time
0,0,-0.0,,0.757721874671413,0.0
0,1,0.7205061947899575,,0.03721567988145558,0.0
0,2,0.7205061947899575,,0.03721567988145558,0.0
0,5,0.7205061947899575,,0.03721567988145558,0.0
0,10,0.7205061947899575,,0.03721567988145558,-0.03125
0,20,0.7205061947899575,,0.03721567988145558,0.0
1,2,0.7487382742592782,,0.008983600412134862,-0.03125
0,30,0.7205061947899575,,0.03721567988145558,-0.03125
1,1,0.7461241928269338,,0.01159768184447929,-0.03125
1,10,0.7493260558831395,,0.008395818788273557,0.0
1,0,-0.0,,0.757721874671413,-0.03125
1,20,0.7493264401600419,,0.008395434511371147,-0.03125
0,100,0.7205061947899575,,0.03721567988145558,-0.0625
0,50,0.7205061947899575,,0.03721567988145558,-0.0625
1,5,0.7493101045726037,,0.008411770098809335,-0.0625
1,30,0.7493264451727544,,0.00839542949865868,-0.046875
1,50,0.7493264421664322,,0.008395432504980871,-0.046875
2,0,-0.0,,0.757721874671413,-0.015625
0,75,0.7205061947899571,,0.03721567988145591,-0.078125
5,0,-0.0,,0.757721874671413,-0.0625
2,2,0.7536233389359721,,0.004098535735440945,-0.078125
2,10,0.7546184259922492,,0.0031034486791639004,-0.078125
2,1,0.750094329002307,,0.007627545669106062,-0.078125
1,75,0.7493264425322641,,0.00839543213914895,-0.109375
2,5,0.7545771545990961,,0.00314472007231692,-0.078125
1,100,0.7493264425193237,,0.008395432152089377,-0.078125
2,20,0.7546199018639953,,0.003101972807417752,-0.109375
2,50,0.7546199550173186,,0.003101919654094454,-0.140625
5,1,0.7516628478154254,,0.0060590268559876925,-0.109375
5,2,0.7557697421655586,,0.0019521325058544647,-0.109375
5,5,0.7571247346289669,,0.0005971400424461537,-0.109375
5,20,0.7572353317037548,,0.00048654296765826555,-0.15625
2,30,0.7546199481850395,,0.0031019264863735296,-0.265625
10,0,-0.0,,0.757721874671413,-0.203125
10,1,0.7518211877288977,,0.005900686942515332,-0.203125
2,75,0.7546199570578318,,0.003101917613581251,-0.328125
10,2,0.7560186926147189,,0.0017031820566941747,-0.1875
5,10,0.7572251519713685,,0.0004967227000445273,-0.3125
2,100,0.754619957371419,,0.0031019172999940947,-0.46875
5,30,0.7572323260534578,,0.0004895486179552488,-0.359375
20,1,0.75183962457557,,0.005882250095843089,-0.515625
10,5,0.7574815861874925,,0.0002402884839205477,-0.640625
10,20,0.7576352323536334,,8.664231777966158e-05,-0.765625
10,10,0.7576178427480832,,0.00010403192332986144,-0.765625
20,0,-0.0,,0.757721874671413,-0.796875
5,50,0.7572324686766247,,0.0004894059947883056,-0.9375
20,2,0.756050541367121,,0.001671333304292033,-0.90625
30,2,0.7560530560613032,,0.0016688186101098124,-1.125
20,5,0.7575362546506614,,0.0001856200207516201,-1.3125
30,0,-0.0,,0.757721874671413,-1.25
5,100,0.7572324873480707,,0.0004893873233423607,-1.53125
10,30,0.7576329342231162,,8.894044829688141e-05,-1.5
5,75,0.7572324839524625,,0.0004893907189505997,-1.5625
30,1,0.7518409948080417,,0.00588087986337138,-1.46875
20,10,0.7576860745256091,,3.580014580395474e-05,-1.53125
50,2,0.7560536889544759,,0.001668185716937165,-1.34375
30,5,0.7575412186105455,,0.00018065606086759,-1.484375
10,50,0.7576331921426896,,8.868252872340499e-05,-1.703125
30,10,0.7576931931711044,,2.8681500308658237e-05,-1.5
20,20,0.7577088126967326,,1.3061974680428357e-05,-1.609375
50,0,-0.0,,0.757721874671413,-1.5625
30,20,0.7577173340532198,,4.5406181932161616e-06,-1.859375
75,1,0.7518413745618197,,0.005880500109593401,-1.609375
50,1,0.7518413302941668,,0.005880544377246277,-2.140625
75,0,-0.0,,0.757721874671413,-1.875
10,75,0.757633408042901,,8.846662851202947e-05,-2.53125
75,2,0.7560537742735111,,0.0016681003979019948,-1.96875
20,50,0.757708135903945,,1.3738767468018942e-05,-2.71875
20,30,0.7577072743435727,,1.460032784039722e-05,-2.71875
100,2,0.756053789534005,,0.0016680851374080152,-2.078125
10,100,0.7576334247286708,,8.844994274226359e-05,-2.921875
50,5,0.7575425600697803,,0.00017931460163278512,-2.765625
50,20,0.7577200769874971,,1.7976839159494773e-06,-2.703125
50,10,0.7576952933748013,,2.6581296611705163e-05,-2.796875
100,0,-0.0,,0.757721874671413,-2.59375
100,1,0.7518413823919783,,0.005880492279434768,-2.796875
75,5,0.7575427517328449,,0.00017912293856814365,-2.921875
75,10,0.7576956181885185,,2.625648289455995e-05,-3.453125
75,20,0.757720539648557,,1.33502285604159e-06,-3.578125
100,10,0.7576956809457293,,2.619372568379852e-05,-3.546875
30,30,0.7577161719677961,,5.70270361699432e-06,-4.09375
100,5,0.7575427871052607,,0.00017908756615236943,-3.734375
20,75,0.7577084637160896,,1.3410955323478468e-05,-4.4375
30,50,0.7577172742065278,,4.600464885262667e-06,-4.421875
100,20,0.7577206359377991,,1.238733613906362e-06,-3.984375
20,100,0.7577085093780991,,1.3365293313971627e-05,-5.046875
30,75,0.7577176777825485,,4.196888864549386e-06,-5.203125
50,30,0.7577191689795368,,2.705691876214722e-06,-5.328125
75,30,0.7577196906164918,,2.1840549212504e-06,-5.375
50,50,0.7577204510941343,,1.4235772787252188e-06,-5.6875
30,100,0.7577177530298536,,4.121641559495792e-06,-6.609375
100,30,0.7577198061701947,,2.0685012183108142e-06,-6.09375
75,50,0.7577211727477313,,7.019236817340513e-07,-6.53125
100,50,0.7577213089048561,,5.657665569369641e-07,-6.375
50,75,0.7577209416701639,,9.330012491481909e-07,-7.0
50,100,0.7577210537786385,,8.208927745334549e-07,-7.171875
75,75,0.7577215875485835,,2.8712282951204315e-07,-7.15625
100,75,0.7577217390941755,,1.3557723754775708e-07,-6.984375
75,100,0.7577217160117842,,1.5865962887939844e-07,-7.546875
100,100,0.757721874671413,,0.0,-7.359375
